EditorID,Path,Field Name,Signature,Value
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #4,Component #4,BFCB,Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>CNAM - Master Worldspaces,CNAM - Master Worldspaces,CNAM,CNAM - Master Worldspaces
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes,Biomes,PPBD,Biomes
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0,PPBD - Biome #0,PPBD,PPBD - Biome
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Biome,Biome,Unknown,FrozenNoLife01 "Frozen Plains" [BIOM:000FC620]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Chance,Chance,Unknown,100.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Unknown,Unknown,Unknown,2D 76 DB 95
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Resource Generation,Resource Generation,Unknown,NULL - Null Reference [00000000]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Fauna,Fauna,Unknown,Fauna
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Keywords,Keywords,Unknown,Keywords
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Flora,Flora,Unknown,Flora
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Flora>Count,Count,Unknown,0
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Flora>Entry Size,Entry Size,Unknown,9
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Flora>Entries,Entries,Unknown,Entries
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Biomes>PPBD - Biome #0>Unknown,Unknown,Unknown,Unknown
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>FNAM - Surface Tree,FNAM - Surface Tree,FNAM,AbettiSurfaceTree [SFTR:001676EA]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>GNAM - Scan Worldspace Multiplier,GNAM - Scan Worldspace Multiplier,GNAM,0.460000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body,Body,BDST,Body
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>BDST - Marker,BDST - Marker,BDST,BDST - Marker
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ANAM - Name,ANAM - Name,ANAM,Abetti
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>CNAM - Body type,CNAM - Body type,CNAM,Moon
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>DNAM - Space Cell,DNAM - Space Cell,DNAM,DNAM - Space Cell
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>DNAM - Space Cell>Cell EditorID,Cell EditorID,Unknown,Cell EditorID
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>DNAM - Space Cell>Is Unique,Is Unique,Unknown,False
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data,ENAM - Orbital Data,ENAM,ENAM - Orbital Data
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Major Axis,Major Axis,Unknown,625700.3786
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Minor Axis,Minor Axis,Unknown,625659.3618
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Aphelion,Aphelion,Unknown,632864.6479
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Eccentricity,Eccentricity,Unknown,0.0115
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Incline,Incline,Unknown,0.0366117727379004
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Mean Orbit,Mean Orbit,Unknown,626985
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Axial Tilt,Axial Tilt,Unknown,0.069800
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Rotational Velocity,Rotational Velocity,Unknown,0.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Start Angle,Start Angle,Unknown,0.0000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Perihelion Angle,Perihelion Angle,Unknown,0.0000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Apply Orbital Velocity,Apply Orbital Velocity,Unknown,True
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Geostationary Orbit,Geostationary Orbit,Unknown,False
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>ENAM - Orbital Data>Unused,Unused,Unknown,00 00 00 00 00 00
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>FNAM - Orbited Data,FNAM - Orbited Data,FNAM,FNAM - Orbited Data
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>FNAM - Orbited Data>Gravity Well,Gravity Well,Unknown,60964000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>FNAM - Orbited Data>Mass (in Earth Masses),Mass (in Earth Masses),Unknown,0.060
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>FNAM - Orbited Data>Radius in km,Radius in km,Unknown,3309.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>FNAM - Orbited Data>Surface Gravity,Surface Gravity,Unknown,0.220000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>FNAM - Orbited Data>Unknown,Unknown,Unknown,D7 00 00 00
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>GNAM - Galaxy Data,GNAM - Galaxy Data,GNAM,GNAM - Galaxy Data
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>GNAM - Galaxy Data>Star System ID,Star System ID,Unknown,83865 (Lunara)
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>GNAM - Galaxy Data>Parent Planet ID,Parent Planet ID,Unknown,5
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>GNAM - Galaxy Data>Planet ID,Planet ID,Unknown,14
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown,HNAM - Unknown,HNAM,HNAM - Unknown
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Unknown,Unknown,Unknown,00 00 00 00
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Spectral Class,Spectral Class,Unknown,G4
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Catalogue ID,Catalogue ID,Unknown,Gl 660A
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Life,Life,Unknown,Life
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Magnetosphere,Magnetosphere,Unknown,Magnetosphere
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Mass in kg,Mass in kg,Unknown,3.58E+23
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Type,Type,Unknown,Ice
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Settled star,Settled star,Unknown,Settled star
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Special,Special,Unknown,Special
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Perihelion,Perihelion,Unknown,619887.2045
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Star Dist,Star Dist,Unknown,10.1843
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Density,Density,Unknown,2.360000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Heat,Heat,Unknown,-97.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Hydro,Hydro,Unknown,70.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Inner HZ,Inner HZ,Unknown,0.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Outer HZ,Outer HZ,Unknown,0.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Peri. Angle,Peri. Angle,Unknown,153.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Unknown,Unknown,Unknown,FE FF FF FF
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Start angle in deg,Start angle in deg,Unknown,266.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Year length in days,Year length in days,Unknown,0.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Asteroids,Asteroids,Unknown,0
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Geostationary,Geostationary,Unknown,False
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Random Seed,Random Seed,Unknown,2297350544
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>HNAM - Unknown>Rings,Rings,Unknown,False
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>INAM - Atmosphere Data,INAM - Atmosphere Data,INAM,INAM - Atmosphere Data
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>INAM - Atmosphere Data>Atmosphere,Atmosphere,Unknown,AtmoNoneFrozen [ATMO:0000AC31]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>INAM - Atmosphere Data>Avg Density Frac.,Avg Density Frac.,Unknown,0.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>INAM - Atmosphere Data>Rayleight Scattering Coefficient,Rayleight Scattering Coefficient,Unknown,0.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>INAM - Atmosphere Data>Mie Scattering Coefficient,Mie Scattering Coefficient,Unknown,0.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>KNAM - Biome Noise,KNAM - Biome Noise,KNAM,KNAM - Biome Noise
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>KNAM - Biome Noise>Noise Filename,Noise Filename,Unknown,Noise Filename
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>KNAM - Biome Noise>Biome Frequency,Biome Frequency,Unknown,1
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>KNAM - Biome Noise>Terrain Height Frequency,Terrain Height Frequency,Unknown,1
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>KNAM - Biome Noise>Noise Type,Noise Type,Unknown,0
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>KNAM - Biome Noise>Terrain Height Seed,Terrain Height Seed,Unknown,0
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>KNAM - Biome Noise>Terrain Max Height (m),Terrain Max Height (m),Unknown,0.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>NNAM - Player Knowlege,NNAM - Player Knowlege,NNAM,0000000000000000000000000000000000000000000000000000000000000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Body>BDED - Marker,BDED - Marker,BDED,BDED - Marker
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>TEMP - Temperature in C,TEMP - Temperature in C,TEMP,-193.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>DENS - Density,DENS - Density,DENS,2.360000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>PHLA - Perihelion Angle (Deg),PHLA - Perihelion Angle (Deg),PHLA,153.000000
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>RSCS - Resource Creation Seed,RSCS - Resource Creation Seed,RSCS,-1204420679
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header,Record Header,Unknown,Record Header
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header>Signature,Signature,Unknown,PNDT
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header>Data Size,Data Size,Unknown,5912
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header>Record Flags,Record Flags,Unknown,0000000000000000001
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header>Record Flags>Compressed,Compressed,Unknown,1
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header>FormID,FormID,Unknown,AgamonAPlanetData [PNDT:0005E2C9]
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header>Version Control Info 1,Version Control Info 1,Unknown,F2 32 20 00
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header>Form Version,Form Version,Unknown,576
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Record Header>Version Control Info 2,Version Control Info 2,Unknown,07 00
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>EDID - Editor ID,EDID - Editor ID,EDID,AgamonAPlanetData
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components,Base Form Components,Unknown,Base Form Components
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0,Component #0,BFCB,Component
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>BFCB - Component Type,BFCB - Component Type,BFCB,TESPlanetModel_Component
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model,Component Data - Planet Model,MODL,Component Data - Planet Model
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>MODL - Model,MODL - Model,MODL,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>FLLD - Light Layer,FLLD - Light Layer,FLLD,1
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>FLLD - Light Layer>Default Light Layer,Default Light Layer,Unknown,1
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown,XMPM - Unknown,XMPM,XMPM - Unknown
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown,Unknown,Unknown,Unknown
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown #0,Unknown #0,Unknown,default
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown,Unknown,Unknown,Unknown
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown,Unknown,Unknown,Unknown
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown>Resource:ID,Resource:ID,Unknown,planet_mesh:0
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown>File Hash,File Hash,Unknown,3303977090
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown>Extension,Extension,Unknown,mat
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown>Folder Hash,Folder Hash,Unknown,602692120
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #0>BFCE - End Marker,BFCE - End Marker,BFCE,BFCE - End Marker
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #1,Component #1,BFCB,Component
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #1>BFCB - Component Type,BFCB - Component Type,BFCB,BGSKeywordForm_Component
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #1>Component Data - Keywords,Component Data - Keywords,Unknown,Component Data - Keywords
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #1>Component Data - Keywords>Keywords,Keywords,KSIZ,Keywords
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KSIZ - Keyword Count,KSIZ - Keyword Count,KSIZ,14
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords,KWDA - Keywords,KWDA,KWDA - Keywords
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetTrait12FrozenEcosystem "Frozen Ecosystem" [KYWD:0022558E]
AgamonAPlanetData,AgamonAPlanetData [PNDT:0005E2C9]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetTrait06CorallineLandmass "Coralline Landmass" [KYWD:00225592]
